_id,value,zipf
1,3567751,3567751
2,2463237,27095607
3,2074794,43570674
5,1989462,61673322
8,1950072,79952952
0,1904820,97145820
6,1648690,100570090
9,1623145,115243295
4,1481367,119990727
7,1300342,118331122
a,627315,63358815
i,559838,62142018
n,544426,65875546
o,312582,40948242
g,298374,42070734
e,288286,43531186
h,278328,44810808
u,248162,42435702
l,240359,43504979
w,225487,43068017
y,214111,43036311
s,197571,41687481
z,163982,36240022
x,149840,34613040
j,147063,35442183
c,142854,35856354
q,134379,35072919
d,133388,36148148
m,124474,34977194
b,102594,29854854
t,94954,28581154
f,85733,26662963
r,80029,25689309
k,69973,23161063
p,63503,21654523
.,51533,18088083
v,41730,15064530
E,34973,12974983
+,29207,11127867
A,15652,6119932
N,10438,4185638
I,10190,4188090
O,7736,3256856
L,7311,3151041
W,7106,3133746
@,7018,3165118
G,6754,3113594
H,6385,3007335
Q,6166,2965846
Y,6064,2977424
S,6010,3011010
Z,5408,2763488
C,5118,2666478
U,5048,2680488
J,4845,2621145
D,4827,2659677
X,4645,2605845
M,4518,2579778
-,4442,2580802
B,4373,2584443
T,3642,2188842
F,3616,2209376
*,3368,2091528
R,3006,1896786
K,3005,1926205
P,2952,1921752
V,2484,1641924
_,2078,1394338
?,1629,1109349
!,1592,1100072
/,1563,1095663
`,931,661941
",",751,541471
),437,319447
�,418,309738
~,393,295143
#,359,273199
<,317,244407
\,267,208527
=,262,207242
$,256,205056
%,229,185719
;,216,177336
[,159,132129
^,158,132878
>,154,131054
],121,104181
(,120,104520
&,91,80171
',28,24948
:,26,23426
|,19,17309
"""",6,5526
{,4,3724
},4,3764
 ,2,1902
Ŷ,2,1922
ʺ,2,1942
Ұ,2,1962
Ӣ,2,1982
